Frame;MethodName;RunTime;
00:00:00;GetVideoFrameFromVIP;0.6304;
00:00:00;PaintVideo;0.6196;
00:00:01;GetVideoFrameFromVIP;1129.22;
00:00:01;PaintVideo;0.9445;
00:00:01;RenderFrame;1130.26;
00:00:02;GetVideoFrameFromVIP;5.1858;
00:00:02;PaintVideo;0.3276;
00:00:03;GetVideoFrameFromVIP;5.3489;
00:00:03;PaintVideo;0.3999;
00:00:04;GetVideoFrameFromVIP;5.8867;
00:00:04;PaintVideo;0.308;
00:00:05;GetVideoFrameFromVIP;5.6435;
00:00:05;PaintVideo;0.2965;
00:00:06;GetVideoFrameFromVIP;5.2821;
00:00:06;PaintVideo;0.3296;
00:00:07;GetVideoFrameFromVIP;5.9497;
00:00:07;PaintVideo;0.3386;
00:00:08;GetVideoFrameFromVIP;5.6211;
00:00:08;PaintVideo;0.3161;
00:00:09;GetVideoFrameFromVIP;6.7357;
00:00:09;PaintVideo;0.6644;
00:00:10;GetVideoFrameFromVIP;5.4361;
00:00:10;PaintVideo;0.5054;
00:00:11;GetVideoFrameFromVIP;5.7337;
00:00:11;PaintVideo;0.4633;
00:00:12;GetVideoFrameFromVIP;6.2432;
00:00:12;PaintVideo;0.3235;
00:00:13;GetVideoFrameFromVIP;5.5778;
00:00:13;PaintVideo;0.3025;
00:00:14;GetVideoFrameFromVIP;6.1471;
00:00:14;PaintVideo;0.5933;
00:00:15;GetVideoFrameFromVIP;5.5794;
00:00:15;PaintVideo;0.371;
00:00:16;GetVideoFrameFromVIP;5.3303;
00:00:16;PaintVideo;0.3948;
00:00:17;GetVideoFrameFromVIP;5.8234;
00:00:17;PaintVideo;0.4337;
00:00:18;GetVideoFrameFromVIP;5.4721;
00:00:18;PaintVideo;0.2969;
00:00:19;GetVideoFrameFromVIP;6.1512;
00:00:19;PaintVideo;0.3579;
00:00:20;GetVideoFrameFromVIP;5.5678;
00:00:20;PaintVideo;0.3232;
00:00:21;GetVideoFrameFromVIP;5.6926;
00:00:21;PaintVideo;0.6667;
00:00:22;GetVideoFrameFromVIP;5.5179;
00:00:22;PaintVideo;0.3193;
00:00:23;GetVideoFrameFromVIP;5.6029;
00:00:23;PaintVideo;0.3194;
00:00:24;GetVideoFrameFromVIP;5.9794;
00:00:24;PaintVideo;0.3101;
00:01:00;GetVideoFrameFromVIP;5.8994;
00:01:00;PaintVideo;0.3259;
00:01:01;GetVideoFrameFromVIP;5.6011;
00:01:01;PaintVideo;0.2807;
00:01:02;GetVideoFrameFromVIP;5.6166;
00:01:02;PaintVideo;0.2972;
00:01:03;GetVideoFrameFromVIP;5.6641;
00:01:03;PaintVideo;0.3187;
00:01:04;GetVideoFrameFromVIP;5.647;
00:01:04;PaintVideo;0.3101;
00:01:05;GetVideoFrameFromVIP;5.8548;
00:01:05;PaintVideo;0.3001;
00:01:06;GetVideoFrameFromVIP;5.29;
00:01:06;PaintVideo;0.3205;
00:01:07;GetVideoFrameFromVIP;5.6455;
00:01:07;PaintVideo;0.4508;
00:01:08;GetVideoFrameFromVIP;5.5207;
00:01:08;PaintVideo;0.2898;
00:01:09;GetVideoFrameFromVIP;5.694;
00:01:09;PaintVideo;0.2669;
00:01:10;GetVideoFrameFromVIP;5.7205;
